week_end,week_label,market,investor,basis,sales,purchases,balance
2025-01-24,2025年1月第3週,二市場,その他法人等,金額,62590.562,91711.852,29121.29
2025-01-24,2025年1月第3週,二市場,その他金融機関,金額,19755.802,14930.391,-4825.411
2025-01-24,2025年1月第3週,二市場,事業法人,金額,234849.611,433235.794,198386.183
2025-01-24,2025年1月第3週,二市場,信託銀行,金額,302359.52,271423.137,-30936.383
2025-01-24,2025年1月第3週,二市場,個人,金額,6952520.255,6493876.577,-458643.678
2025-01-24,2025年1月第3週,二市場,委託計,金額,21801613.375,21833087.174,31473.799
2025-01-24,2025年1月第3週,二市場,投資信託,金額,305399.739,274163.579,-31236.16
2025-01-24,2025年1月第3週,二市場,法人,金額,1005304.015,1106217.008,100912.993
2025-01-24,2025年1月第3週,二市場,海外投資家,金額,13746841.314,14137948.015,391106.701
2025-01-24,2025年1月第3週,二市場,生保・損保,金額,49709.122,8228.624,-41480.498
2025-01-24,2025年1月第3週,二市場,総計,金額,23964260.573,23901233.613,-63026.96
2025-01-24,2025年1月第3週,二市場,自己計,金額,2162647.198,2068146.439,-94500.759
2025-01-24,2025年1月第3週,二市場,証券会社,金額,96947.791,95045.574,-1902.217
2025-01-24,2025年1月第3週,二市場,都銀・地銀等,金額,30639.659,12523.631,-18116.028
2025-01-24,2025年1月第3週,二市場,金融機関,金額,402464.103,307105.783,-95358.32
2025-01-24,2025年1月第3週,東証グロース,その他法人等,金額,7215.735,1676.328,-5539.407
2025-01-24,2025年1月第3週,東証グロース,その他金融機関,金額,86.389,184.416,98.027
2025-01-24,2025年1月第3週,東証グロース,事業法人,金額,4677.638,9221.588,4543.95
2025-01-24,2025年1月第3週,東証グロース,信託銀行,金額,2524.184,2363.028,-161.156
2025-01-24,2025年1月第3週,東証グロース,個人,金額,298665.84,295444.255,-3221.585
2025-01-24,2025年1月第3週,東証グロース,委託計,金額,549659.562,546185.618,-3473.944
2025-01-24,2025年1月第3週,東証グロース,投資信託,金額,2295.865,2195.618,-100.247
2025-01-24,2025年1月第3週,東証グロース,法人,金額,16891.514,16142.717,-748.797
2025-01-24,2025年1月第3週,東証グロース,海外投資家,金額,232421.441,232471.453,50.012
2025-01-24,2025年1月第3週,東証グロース,生保・損保,金額,41.692,44.718,3.026
2025-01-24,2025年1月第3週,東証グロース,総計,金額,571828.48,571438.417,-390.063
2025-01-24,2025年1月第3週,東証グロース,自己計,金額,22168.918,25252.799,3083.881
2025-01-24,2025年1月第3週,東証グロース,証券会社,金額,1680.767,2127.193,446.426
2025-01-24,2025年1月第3週,東証グロース,都銀・地銀等,金額,50.011,457.021,407.01
2025-01-24,2025年1月第3週,東証グロース,金融機関,金額,2702.276,3049.183,346.907
